Timestamp,Price
2016-01-29 00:00:00,821.35
2016-01-29 01:00:00,612.37
2016-01-29 02:00:00,543.81
2016-01-29 03:00:00,507.92
2016-01-29 04:00:00,532.22
2016-01-29 05:00:00,585.51
2016-01-29 06:00:00,783.29
2016-01-29 07:00:00,833.49
2016-01-29 08:00:00,845.7
2016-01-29 09:00:00,877.26
2016-01-29 10:00:00,902.28
2016-01-29 11:00:00,858.9
2016-01-29 12:00:00,944.17
2016-01-29 13:00:00,891.4
2016-01-29 14:00:00,867.55
2016-01-29 15:00:00,911.61
2016-01-29 16:00:00,975.16
2016-01-29 17:00:00,887.74
2016-01-29 18:00:00,887.21
2016-01-29 19:00:00,930.67
2016-01-29 20:00:00,987.35
2016-01-29 21:00:00,912.56
2016-01-29 22:00:00,819.46
2016-01-29 23:00:00,785.8
2016-01-30 00:00:00,691.56
2016-01-30 01:00:00,575.49
2016-01-30 02:00:00,518.24
2016-01-30 03:00:00,498.13
2016-01-30 04:00:00,497.28
2016-01-30 05:00:00,518.8
2016-01-30 06:00:00,548.03
2016-01-30 07:00:00,615.14
2016-01-30 08:00:00,867.67
2016-01-30 09:00:00,954.06
2016-01-30 10:00:00,1017.56
2016-01-30 11:00:00,926.41
2016-01-30 12:00:00,846.3
2016-01-30 13:00:00,872.78
2016-01-30 14:00:00,850.12
2016-01-30 15:00:00,967.2
2016-01-30 16:00:00,957.31
2016-01-30 17:00:00,963.49
2016-01-30 18:00:00,855.73
2016-01-30 19:00:00,869.65
2016-01-30 20:00:00,886.4
2016-01-30 21:00:00,964.41
2016-01-30 22:00:00,865.18
2016-01-30 23:00:00,860.36
2016-01-31 00:00:00,568.81
2016-01-31 01:00:00,504.23
2016-01-31 02:00:00,486.77
2016-01-31 03:00:00,489.87
2016-01-31 04:00:00,479.96
2016-01-31 05:00:00,481.84
2016-01-31 06:00:00,489.06
2016-01-31 07:00:00,475.86
2016-01-31 08:00:00,495.24
2016-01-31 09:00:00,544.65
2016-01-31 10:00:00,581.19
2016-01-31 11:00:00,595.53
2016-01-31 12:00:00,582.22
2016-01-31 13:00:00,586.19
2016-01-31 14:00:00,583.12
2016-01-31 15:00:00,562.74
2016-01-31 16:00:00,559.13
2016-01-31 17:00:00,589.91
2016-01-31 18:00:00,594.19
2016-01-31 19:00:00,613.9
2016-01-31 20:00:00,616.84
2016-01-31 21:00:00,610.67
2016-01-31 22:00:00,576.41
2016-01-31 23:00:00,581.72
2016-02-01 00:00:00,633.43
2016-02-01 01:00:00,575.95
2016-02-01 02:00:00,542.93
2016-02-01 03:00:00,527.74
2016-02-01 04:00:00,522.28
2016-02-01 05:00:00,510.32
2016-02-01 06:00:00,546.69
2016-02-01 07:00:00,578.67
2016-02-01 08:00:00,648.3
2016-02-01 09:00:00,683.85
2016-02-01 10:00:00,694.06
2016-02-01 11:00:00,702.6
2016-02-01 12:00:00,719.34
2016-02-01 13:00:00,716.64
2016-02-01 14:00:00,709.97
2016-02-01 15:00:00,698.92
2016-02-01 16:00:00,697.95
2016-02-01 17:00:00,689.06
2016-02-01 18:00:00,723.5
2016-02-01 19:00:00,745.15
2016-02-01 20:00:00,710.18
2016-02-01 21:00:00,742.02
2016-02-01 22:00:00,703.72
2016-02-01 23:00:00,695.26
2016-02-02 00:00:00,774.19
2016-02-02 01:00:00,684.69
2016-02-02 02:00:00,644.07
2016-02-02 03:00:00,585.73
2016-02-02 04:00:00,579.97
2016-02-02 05:00:00,652.47
2016-02-02 06:00:00,747.95
2016-02-02 07:00:00,722.34
2016-02-02 08:00:00,813.79
2016-02-02 09:00:00,837.93
2016-02-02 10:00:00,824.82
2016-02-02 11:00:00,817.23
2016-02-02 12:00:00,877.94
2016-02-02 13:00:00,862.15
2016-02-02 14:00:00,856.29
2016-02-02 15:00:00,827.64
2016-02-02 16:00:00,809.07
2016-02-02 17:00:00,813.31
2016-02-02 18:00:00,827.99
2016-02-02 19:00:00,800.06
2016-02-02 20:00:00,835.9
2016-02-02 21:00:00,828.52
2016-02-02 22:00:00,815.93
2016-02-02 23:00:00,733.71
2016-02-03 00:00:00,699.89
2016-02-03 01:00:00,670.73
2016-02-03 02:00:00,640.87
2016-02-03 03:00:00,606.01
2016-02-03 04:00:00,616.48
2016-02-03 05:00:00,657.28
2016-02-03 06:00:00,766.89
2016-02-03 07:00:00,809.91
2016-02-03 08:00:00,879.63
2016-02-03 09:00:00,834.78
2016-02-03 10:00:00,838.42
2016-02-03 11:00:00,845.69
2016-02-03 12:00:00,831.13
2016-02-03 13:00:00,825.31
2016-02-03 14:00:00,847.69
2016-02-03 15:00:00,839.5
2016-02-03 16:00:00,834.15
2016-02-03 17:00:00,846.13
2016-02-03 18:00:00,879.1
2016-02-03 19:00:00,869.16
2016-02-03 20:00:00,867.15
2016-02-03 21:00:00,846.98
2016-02-03 22:00:00,815.71
2016-02-03 23:00:00,675.01
2016-02-04 00:00:00,719.95
2016-02-04 01:00:00,686.89
2016-02-04 02:00:00,619.85
2016-02-04 03:00:00,590.74
2016-02-04 04:00:00,574.4
2016-02-04 05:00:00,609.18
2016-02-04 06:00:00,735
2016-02-04 07:00:00,729.26
2016-02-04 08:00:00,781.24
2016-02-04 09:00:00,824.15
2016-02-04 10:00:00,776.44
2016-02-04 11:00:00,777.03
2016-02-04 12:00:00,782.9
2016-02-04 13:00:00,808.05
2016-02-04 14:00:00,819.37
2016-02-04 15:00:00,806.76
2016-02-04 16:00:00,796.4
2016-02-04 17:00:00,780.92
2016-02-04 18:00:00,786.9
2016-02-04 19:00:00,802.32
2016-02-04 20:00:00,831.57
2016-02-04 21:00:00,747.95
2016-02-04 22:00:00,733.78
2016-02-04 23:00:00,790.58
2016-02-05 00:00:00,688.06
2016-02-05 01:00:00,632.4
2016-02-05 02:00:00,593.28
2016-02-05 03:00:00,577.23
2016-02-05 04:00:00,557.41
2016-02-05 05:00:00,583.8
2016-02-05 06:00:00,746.8
2016-02-05 07:00:00,763.95
2016-02-05 08:00:00,771
2016-02-05 09:00:00,799.06
2016-02-05 10:00:00,765.78
2016-02-05 11:00:00,783.31
2016-02-05 12:00:00,795.49
2016-02-05 13:00:00,780.49
2016-02-05 14:00:00,799.91
2016-02-05 15:00:00,784.82
2016-02-05 16:00:00,787.41
2016-02-05 17:00:00,794.58
2016-02-05 18:00:00,792
2016-02-05 19:00:00,790.05
2016-02-05 20:00:00,807.4
2016-02-05 21:00:00,803.06
2016-02-05 22:00:00,731.91
2016-02-05 23:00:00,672.49
2016-02-06 00:00:00,724.11
2016-02-06 01:00:00,687.23
2016-02-06 02:00:00,641.83
2016-02-06 03:00:00,579.21
2016-02-06 04:00:00,556.6
2016-02-06 05:00:00,588.97
2016-02-06 06:00:00,643.84
2016-02-06 07:00:00,692.72
2016-02-06 08:00:00,715.95
2016-02-06 09:00:00,695.83
2016-02-06 10:00:00,780.34
2016-02-06 11:00:00,773.1
2016-02-06 12:00:00,714.89
2016-02-06 13:00:00,730.37
2016-02-06 14:00:00,694.1
2016-02-06 15:00:00,696.38
2016-02-06 16:00:00,704.48
2016-02-06 17:00:00,724.37
2016-02-06 18:00:00,688.05
2016-02-06 19:00:00,709.82
2016-02-06 20:00:00,698.09
2016-02-06 21:00:00,803.38
2016-02-06 22:00:00,692.65
2016-02-06 23:00:00,625.13
